vector,ref_date,value
capex_oil_gas,2007,41262.6
capex_electricity,2007,13229.2
capex_other,2007,8707.6
capex_total,2007,63199.4
capex_oil_gas,2008,44861.4
capex_electricity,2008,14678.6
capex_other,2008,12180.0
capex_total,2008,71720.0
capex_oil_gas,2009,26938.1
capex_electricity,2009,17074.0
capex_other,2009,9832.3
capex_total,2009,53844.4
capex_oil_gas,2010,42965.2
capex_electricity,2010,18018.0
capex_other,2010,7129.9
capex_total,2010,68113.1
capex_oil_gas,2011,52168.0
capex_electricity,2011,19190.9
capex_other,2011,10024.8
capex_total,2011,81383.7
capex_oil_gas,2012,58779.8
capex_electricity,2012,19919.1
capex_other,2012,10934.2
capex_total,2012,89633.1
capex_oil_gas,2013,65073.5
capex_electricity,2013,24302.4
capex_other,2013,15159.5
capex_total,2013,104535.4
capex_oil_gas,2014,76070.0
capex_electricity,2014,25528.1
capex_other,2014,15656.4
capex_total,2014,117254.5
capex_oil_gas,2015,51064.8
capex_electricity,2015,23944.0
capex_other,2015,15730.4
capex_total,2015,90739.2
capex_oil_gas,2016,37604.7
capex_electricity,2016,23509.0
capex_other,2016,12658.5
capex_total,2016,73772.2
capex_oil_gas,2017,40248.1
capex_electricity,2017,23865.0
capex_other,2017,12656.6
capex_total,2017,76769.7
capex_oil_gas,2018,37052.3
capex_electricity,2018,21556.8
capex_other,2018,13761.5
capex_total,2018,72370.6
capex_oil_gas,2019,33920.2
capex_electricity,2019,22157.9
capex_other,2019,14986.9
capex_total,2019,71065.0
capex_oil_gas,2020,21804.7
capex_electricity,2020,21520.0
capex_other,2020,15054.4
capex_total,2020,58379.1
capex_oil_gas,2021,24686.2
capex_electricity,2021,24617.9
capex_other,2021,18477.2
capex_total,2021,67781.3
capex_oil_gas,2022,35029.0
capex_electricity,2022,25584.1
capex_other,2022,26030.9
capex_total,2022,86644.0
capex_oil_gas,2023,39201.8
capex_electricity,2023,28632.1
capex_other,2023,25920.0
capex_total,2023,93753.9
capex_oil_gas,2024,42990.0
capex_electricity,2024,31977.6
capex_other,2024,14471.3
capex_total,2024,89438.9
capex_oil_gas,2025,46005.7
capex_electricity,2025,34474.4
capex_other,2025,12630.3
capex_total,2025,93110.4
infra_fuel_energy_pipelines,2007,117187.0
infra_transport,2007,118011.0
infra_health_housing,2007,66489.0
infra_education,2007,67766.0
infra_public_safety,2007,57212.0
infra_environmental,2007,35187.0
infra_total,2007,461852.0
infra_fuel_energy_pipelines,2008,131110.0
infra_transport,2008,135417.0
infra_health_housing,2008,74576.0
infra_education,2008,74917.0
infra_public_safety,2008,61406.0
infra_environmental,2008,38616.0
infra_total,2008,516042.0
infra_fuel_energy_pipelines,2009,141153.0
infra_transport,2009,141109.0
infra_health_housing,2009,78290.0
infra_education,2009,74258.0
infra_public_safety,2009,62447.0
infra_environmental,2009,41005.0
infra_total,2009,538262.0
infra_fuel_energy_pipelines,2010,150248.0
infra_transport,2010,153508.0
infra_health_housing,2010,85954.0
infra_education,2010,78313.0
infra_public_safety,2010,65744.0
infra_environmental,2010,43366.0
infra_total,2010,577133.0
infra_fuel_energy_pipelines,2011,160823.0
infra_transport,2011,169399.0
infra_health_housing,2011,94289.0
infra_education,2011,83670.0
infra_public_safety,2011,70366.0
infra_environmental,2011,45797.0
infra_total,2011,624344.0
infra_fuel_energy_pipelines,2012,173180.0
infra_transport,2012,182073.0
infra_health_housing,2012,102298.0
infra_education,2012,87600.0
infra_public_safety,2012,74454.0
infra_environmental,2012,48239.0
infra_total,2012,667844.0
infra_fuel_energy_pipelines,2013,189479.0
infra_transport,2013,189748.0
infra_health_housing,2013,107590.0
infra_education,2013,88802.0
infra_public_safety,2013,77337.0
infra_environmental,2013,49677.0
infra_total,2013,702633.0
infra_fuel_energy_pipelines,2014,208399.0
infra_transport,2014,198091.0
infra_health_housing,2014,113517.0
infra_education,2014,91469.0
infra_public_safety,2014,83152.0
infra_environmental,2014,52009.0
infra_total,2014,746637.0
infra_fuel_energy_pipelines,2015,224830.0
infra_transport,2015,205002.0
infra_health_housing,2015,117210.0
infra_education,2015,94286.0
infra_public_safety,2015,88122.0
infra_environmental,2015,54896.0
infra_total,2015,784346.0
infra_fuel_energy_pipelines,2016,236072.0
infra_transport,2016,209095.0
infra_health_housing,2016,118193.0
infra_education,2016,97423.0
infra_public_safety,2016,93299.0
infra_environmental,2016,57303.0
infra_total,2016,811385.0
infra_fuel_energy_pipelines,2017,247766.0
infra_transport,2017,219255.0
infra_health_housing,2017,120502.0
infra_education,2017,103177.0
infra_public_safety,2017,98753.0
infra_environmental,2017,58298.0
infra_total,2017,847751.0
infra_fuel_energy_pipelines,2018,264567.0
infra_transport,2018,233193.0
infra_health_housing,2018,125610.0
infra_education,2018,110707.0
infra_public_safety,2018,105240.0
infra_environmental,2018,60123.0
infra_total,2018,899440.0
infra_fuel_energy_pipelines,2019,277557.0
infra_transport,2019,246090.0
infra_health_housing,2019,129342.0
infra_education,2019,115811.0
infra_public_safety,2019,110985.0
infra_environmental,2019,61638.0
infra_total,2019,941423.0
infra_fuel_energy_pipelines,2020,288357.0
infra_transport,2020,253478.0
infra_health_housing,2020,131958.0
infra_education,2020,118884.0
infra_public_safety,2020,115125.0
infra_environmental,2020,62054.0
infra_total,2020,969856.0
infra_fuel_energy_pipelines,2021,325695.0
infra_transport,2021,285408.0
infra_health_housing,2021,142077.0
infra_education,2021,129689.0
infra_public_safety,2021,127669.0
infra_environmental,2021,66923.0
infra_total,2021,1077461.0
infra_fuel_energy_pipelines,2022,375929.0
infra_transport,2022,327285.0
infra_health_housing,2022,158912.0
infra_education,2022,145473.0
infra_public_safety,2022,144074.0
infra_environmental,2022,72884.0
infra_total,2022,1224557.0
infra_fuel_energy_pipelines,2023,396011.0
infra_transport,2023,337254.0
infra_health_housing,2023,168378.0
infra_education,2023,156622.0
infra_public_safety,2023,150211.0
infra_environmental,2023,74336.0
infra_total,2023,1282812.0
infra_fuel_energy_pipelines,2024,419643.0
infra_transport,2024,356015.0
infra_health_housing,2024,178113.0
infra_education,2024,166389.0
infra_public_safety,2024,156074.0
infra_environmental,2024,76579.0
infra_total,2024,1352813.0
econ_jobs,2007,65600.0
econ_employment_income,2007,4143.0
econ_gdp,2007,8496.0
econ_investment_value,2007,60202.5
econ_jobs,2008,88800.0
econ_employment_income,2008,5693.0
econ_gdp,2008,11135.0
econ_investment_value,2008,69005.0
econ_jobs,2009,92700.0
econ_employment_income,2009,5976.0
econ_gdp,2009,11762.0
econ_investment_value,2009,51794.5
econ_jobs,2010,93100.0
econ_employment_income,2010,5969.0
econ_gdp,2010,12050.0
econ_investment_value,2010,66480.6
econ_jobs,2011,95400.0
econ_employment_income,2011,6341.0
econ_gdp,2011,12525.0
econ_investment_value,2011,77978.8
econ_jobs,2012,104000.0
econ_employment_income,2012,7226.0
econ_gdp,2012,13876.0
econ_investment_value,2012,87014.5
econ_jobs,2013,139800.0
econ_employment_income,2013,9852.0
econ_gdp,2013,18564.0
econ_investment_value,2013,100803.9
econ_jobs,2014,143900.0
econ_employment_income,2014,10246.0
econ_gdp,2014,19480.0
econ_investment_value,2014,114012.1
econ_jobs,2015,131500.0
econ_employment_income,2015,9830.0
econ_gdp,2015,17612.0
econ_investment_value,2015,88181.6
econ_jobs,2016,128400.0
econ_employment_income,2016,9822.0
econ_gdp,2016,18144.0
econ_investment_value,2016,72811.2
econ_jobs,2017,126300.0
econ_employment_income,2017,10125.0
econ_gdp,2017,18798.0
econ_investment_value,2017,75438.4
econ_jobs,2018,118100.0
econ_employment_income,2018,9842.0
econ_gdp,2018,18368.0
econ_investment_value,2018,71060.7
econ_jobs,2019,125200.0
econ_employment_income,2019,10634.0
econ_gdp,2019,19353.0
econ_investment_value,2019,69928.5
econ_jobs,2020,134600.0
econ_employment_income,2020,12022.0
econ_gdp,2020,21412.0
econ_investment_value,2020,57843.8
econ_jobs,2021,145100.0
econ_employment_income,2021,13048.0
econ_gdp,2021,23836.0
econ_investment_value,2021,66564.5
econ_jobs,2022,181500.0
econ_employment_income,2022,16290.0
econ_gdp,2022,28916.0
econ_investment_value,2022,85082.4
econ_jobs,2023,177700.0
econ_employment_income,2023,15933.0
econ_gdp,2023,29327.0
econ_investment_value,2023,91628.6
econ_jobs,2024,172500.0
econ_employment_income,2024,15478.0
econ_gdp,2024,29983.0
econ_investment_value,2024,87705.4
asset_transmission_distribution,2009,9696.0
asset_pipelines,2009,3229.0
asset_nuclear,2009,603.0
asset_other_electric,2009,35.0
asset_hydraulic,2009,3280.0
asset_wind_solar,2009,456.0
